"WOY";"pop";"Covid_caused";"Covid_attributed";"Covid_related";"AllCause_observed";"AllCause_fitted";"AllCause_PImin";"AllCause_PImax";"AllCause_diff";"AllCause_diff_min";"AllCause_diff_max";"AllCause_excess";"AllCause_excess_max";"AllCause_excess_min";"Circulatory_observed";"Circulatory_fitted";"Circulatory_PImin";"Circulatory_PImax";"Circulatory_diff";"Circulatory_diff_PImin";"Circulatory_diff_PImax";"Circulatory_excess";"Circulatory_excess_PImin";"Circulatory_excess_PImax";"Oncology_observed";"Oncology_fitted";"Oncology_PImin";"Oncology_PImax";"Oncology_diff";"Oncology_diff_PImin";"Oncology_diff_PImax";"Oncology_excess";"Oncology_excess_max";"Oncology_excess_min";"Diabetes_observed";"Diabetes_fitted";"Diabetes_PImin";"Diabetes_PImax";"Diabetes_diff";"Diabetes_diff_PImin";"Diabetes_diff_PImax";"Diabetes_excess";"Diabetes_excess_max";"Diabetes_excess_min";"CLRd_observed";"CLRd_fitted";"CLRd_PImin";"CLRd_PImax";"CLRd_diff";"CLRd_diff_PImin";"CLRd_diff_PImax";"CLRd_excess";"CLRd_excess_max";"CLRd_excess_min"
"25";"1901100";"0";"0";"0";"520";"449";"407";"494";"71";"26";"113";"71";"113";"26";"227";"211";"182";"241";"16";"-14";"45";"16";"0";"45";"133";"108";"87";"130";"25";"3";"46";"25";"46";"3";"10";"11";"5";"18";"-1";"-8";"5";"0";"5";"0";"5";"4";"1";"9";"1";"-4";"4";"1";"4";"0"
"26";"1900800";"0";"0";"0";"567";"450";"407";"494";"117";"73";"160";"117";"160";"73";"279";"211";"182";"242";"68";"37";"97";"68";"37";"97";"118";"108";"87";"130";"10";"-12";"31";"10";"31";"0";"13";"11";"5";"18";"2";"-5";"8";"2";"8";"0";"3";"4";"1";"9";"-1";"-6";"2";"0";"2";"0"
"27";"1900640";"0";"0";"0";"509";"451";"408";"496";"58";"13";"101";"58";"101";"13";"236";"209";"180";"240";"27";"-4";"56";"27";"0";"56";"120";"108";"88";"130";"12";"-10";"32";"12";"32";"0";"12";"11";"5";"18";"1";"-6";"7";"1";"7";"0";"3";"4";"1";"9";"-1";"-6";"2";"0";"2";"0"
"28";"1900480";"0";"1";"1";"472";"451";"408";"497";"21";"-25";"64";"21";"64";"0";"223";"207";"177";"237";"16";"-14";"46";"16";"0";"46";"105";"108";"88";"131";"-3";"-26";"17";"0";"17";"0";"11";"11";"5";"18";"0";"-7";"6";"0";"6";"0";"5";"4";"1";"8";"1";"-3";"4";"1";"4";"0"
"29";"1900320";"0";"0";"0";"524";"449";"407";"494";"75";"30";"117";"75";"117";"30";"262";"203";"174";"232";"59";"30";"88";"59";"30";"88";"112";"108";"88";"130";"4";"-18";"24";"4";"24";"0";"11";"11";"5";"18";"0";"-7";"6";"0";"6";"0";"9";"4";"1";"8";"5";"1";"8";"5";"8";"1"
"30";"1900160";"0";"0";"0";"497";"445";"402";"488";"52";"9";"95";"52";"95";"9";"240";"198";"168";"227";"42";"13";"72";"42";"13";"72";"103";"109";"87";"130";"-6";"-27";"16";"0";"16";"0";"18";"10";"4";"18";"8";"0";"14";"8";"14";"0";"4";"4";"1";"8";"0";"-4";"3";"0";"3";"0"
"31";"1900000";"1";"0";"1";"450";"440";"397";"484";"10";"-34";"53";"10";"53";"0";"211";"194";"167";"224";"17";"-13";"44";"17";"0";"44";"102";"109";"88";"131";"-7";"-29";"14";"0";"14";"0";"12";"10";"4";"18";"2";"-6";"8";"2";"8";"0";"5";"4";"1";"8";"1";"-3";"4";"1";"4";"0"
"32";"1899800";"0";"0";"0";"520";"435";"393";"479";"85";"41";"127";"85";"127";"41";"228";"192";"164";"222";"36";"6";"64";"36";"6";"64";"117";"109";"88";"130";"8";"-13";"29";"8";"29";"0";"13";"10";"4";"18";"3";"-5";"9";"3";"9";"0";"8";"4";"1";"8";"4";"0";"7";"4";"7";"0"
"33";"1899600";"0";"1";"1";"520";"433";"390";"476";"87";"44";"130";"87";"130";"44";"242";"192";"164";"220";"50";"22";"78";"50";"22";"78";"127";"109";"88";"131";"18";"-4";"39";"18";"39";"0";"20";"10";"4";"18";"10";"2";"16";"10";"16";"2";"4";"4";"1";"8";"0";"-4";"3";"0";"3";"0"
"34";"1899400";"0";"0";"0";"512";"432";"390";"476";"80";"36";"122";"80";"122";"36";"206";"192";"164";"221";"14";"-15";"42";"14";"0";"42";"113";"109";"88";"131";"4";"-18";"25";"4";"25";"0";"13";"10";"4";"18";"3";"-5";"9";"3";"9";"0";"9";"4";"1";"9";"5";"0";"8";"5";"8";"0"
